K Ashwin Kumar,Abdul Quamar
Jun Li,Heyou Chang
Qiaojun Wang,Kai Zhang
Lei Han,Yu Zhang
Jiri Cermak,Branislav Bosanskyacute
Han Zhao,Pascal Poupart
Kun Zhang,Mingming Gong
Makoto Nakatsuji,Yasuhiro Fujiwara
Hiroshi Kajino,Yuta Tsuboi
Chen Hajaj,Noam Hazon
Vishnu Purushothaman Sreenivasan,Haitham BouAmmar
Guilin Qi,Zhe Wang
JeonHyung Kang,Kristina Lerman
Sudip Saha,Abhijin Adiga
Chongjie Zhang,Julie A Shah
Markus Brill,Vincent Conitzer
Jing Zhang,Jie Tang
Jun Chen,Chaokun Wang
Weike Pan,Evan Wei Xiang
Zhiding Yu,Weiyang Liu
Hiromasa Arai,Crystal Maung
Kosta Ristovski,Vladan Radosavljevic
Weizhong Zhang,Lijun Zhang
Yehong Zhang,Trong Nghia Hoang
Elliot Anshelevich,Onkar Bhardwaj
Sigal Sina,Avi Rosenfeld
Olivier Bachem,Mario Lucic
Todd W Neller,Laura E Brown
Yong Luo,Jian Tang
James P Delgrande,Kewen Wang
Nian Liu,Lin Li
Meng Jiang,Peng Cui
Xiannian Fan,Changhe Yuan
Yuya Yoshikawa,Tomoharu Iwata
Mithun Chakraborty,Sanmay Das
Yangqiu Song,Chenguang Wang
Hao Cui,Roni Khardon
Lei Han,Yu Zhang
Changkyu Song,Sejong Yoon
Michael Katz,Jouml
Ofra Amir,Barbara J Grosz
Yasuhiro Fujiwara,Makoto Nakatsuji
Wei Liu,Cun Mu
Junchi Yan,Jun Wang
Muddasser Alam,Alex Rogers
Yang Yang,Walter Luyten
Marco Lippi,Paolo Torroni
Jan Van Haaren,Jesse Davis
Hadi Amiri,Hal Daumeacute
Alexandre Papadopoulos,Pierre Roy
HaiGuang Li,Xindong Wu
Sandhya Saisubramanian,Pradeep Varakantham
Samuel Barrett,Peter Stone
Sylvie C W Ong,Yuri Grinberg
Xiao Wang,Di Jin
Xiaojun Chang,Feiping Nie
Yili Fang,Hailong Sun
Daniel J Geschwender,Shant Karakashian
Tahrima Rahman,Vibhav Gogate
Yang Lu,SongChun Zhu
Chuang Gan,Ming Lin
Noam Peled,Yaakov Kobi Gal
Jochen Renz,Xiaoyu Ge
Hong Liu,Rongrong Ji
Chen Cheng,Haiqin Yang
Zihan Zhang,Xiaoming Jin
David Tolpin,Solomon Eyal Shimony
Devi Parikh,Adriana Kovashka
Benjamin Bittner,Marco Bozzano
Snigdha Chaturvedi,Dan Goldwasser
Dawei Zhou,Jiebo Luo
Xiao Ding,Ting Liu
Liang Xie,Jialie Shen
Peng Cheng,JengShyang Pan
Tianbao Yang,Mehrdad Mahdavi
Mathew Monfort,Anqi Liu
YoungSeob Jeong,HoJin Choi
Trevor Davis,Neil Burch
Yasuhiro Fujiwara,Yasutoshi Ida
Fan Xie,Martin Muuml
Daisuke Hatano,Takuro Fukunaga
Ioannis Caragiannis,Ariel D Procaccia
Krishnendu Chatterjee,Martin Chmelik
Paul Ruvolo,Eric Eaton
Joatilde,o Vicente Messias
Yong Liu,Shizhong Liao
Yong Li,Jing Liu
Joanna Drummond,Craig Boutilier
Michael A Osborne,David K Duvenaud
Chris J Maddison,Daniel Tarlow
Mohsen Hejrati,Deva Ramanan
Tony Jebara,Anna Choromanska
Maksim Lapin,Matthias Hein
Jennifer Gillenwater,Rishabh K Iyer
Hastagiri P Vanchinathan,Gaacute
Mohammad J Saberian,Nuno Vasconcelos
Wouter M Koolen,Alan Malek
Alina Beygelzimer,Elad Hazan
Hachem Kadri,Alain Rakotomamonjy
Guy Bresler,David Gamarnik
Eunho Yang,Pradeep Ravikumar
Wouter M Koolen,Tim van Erven
Lu Jiang,Deyu Meng
Armand Joulin,Tomas Mikolov
Yuchen Zhang,Xi Chen
Yanshuai Cao,Marcus A Brubaker
Xin Wang,Jinbo Bi
Somdeb Sarkhel,Parag Singla
David B Smith,Vibhav Gogate
Balaji Lakshminarayanan,Daniel M Roy
Shinichi Nakajima,Issei Sato
Piyush Rai,Abhishek Kumar
Fajwel Fogel,Rodolphe Jenatton
Eunho Yang,Aurelie C Lozano
Dohyung Park,Constantine Caramanis
Jingjing Zheng,Zhuolin Jiang
Balaacute,zs Szouml
Kai Fan,Ziteng Wang
Boqing Gong,WeiLun Chao
Qing Qu,Ju Sun
Danfeng Qin,Xuanli Chen
Mauro Scanagatta,Cassio Polpo de Campos
John C Duchi,Martin J Wainwright
Ralph Bourdoukan,Sophie Denegrave
Shashank Singh,Barnabaacute
Xiaolong Wang,Liang Lin
Huan Li,Zhouchen Lin
Adith Swaminathan,Thorsten Joachims
Nisheeth Srivastava,Paul R Schrater
Tianyi Zhou,Jeff A Bilmes
Philip Bachman,Ouais Alsharif
Le Song,Bo Dai
Mohammad Emtiyaz Khan,Shakir Mohamed
Eunho Yang,Aurelie C Lozano
Yinlam Chow,Aviv Tamar
Samory Kpotufe,Francesco Orabona
Soumyadeep Chatterjee,Sheng Chen
Jeffrey Pennington,Felix X Yu
Ralph Bourdoukan,David G T Barrett
Vasiliy Karasev,Alessandro Chiuso
Hemant Tyagi,Bernd Gauml
Dahua Lin,John W Fisher
Behnam Neyshabur,Ruslan Salakhutdinov
Julian J McAuley,Jure Leskovec
Siddharth Gopal,Yiming Yang
David I Inouye,Pradeep Ravikumar
Ke Sun,Jun Wang
Weixin Li,Nuno Vasconcelos
Victor Gabillon,Branislav Kveton
Oren Anava,Elad Hazan
Francisco J R Ruiz,Isabel Valera
Parikshit Shah,Nikhil S Rao
Amit Daniely,Sivan Sabato
Siqi Nie,Denis Deratani Mauaacute
Haim Avron,Vikas Sindhwani
Daniel Zoran,Dilip Krishnan
Andreas Argyriou,Rina Foygel
Kamalika Chaudhuri,Anand D Sarwate
Cong Xie,Ling Yan
Alex Krizhevsky,Ilya Sutskever
Ian EnHsu Yen,ShanWei Lin
Firdaus Janoos,Weichang Li
Tim Roughgarden,Michael Kearns
Ulrike von Luxburg,Morteza Alamgir
Akihiro Kishimoto,Radu Marinescu
Yining Wang,Jun Zhu
Justin Domke,Xianghang Liu
Shiau Hong Lim,Huan Xu
Guangcan Liu,Ping Li
Pinghua Gong,Jieping Ye
Jianqiu Ji,Jianmin Li
Tuo Zhao,Zhaoran Wang
Mehrdad Mahdavi,Tianbao Yang
Jiashi Feng,Huan Xu
Kush Bhatia,Prateek Jain
Animashree Anandkumar,Daniel J Hsu
Alexandr Andoni,Piotr Indyk
Mohammad Norouzi,Maxwell D Collins
Hemant Tyagi,Volkan Cevher
Alessandro Rudi,Guillermo D Cantilde
Alkis Gotovos,S Hamed Hassani
Weiwei Liu,Ivor W Tsang
Ian EnHsu Yen,TingWei Lin
Yanyan Lan,Jiafeng Guo
Ananda Theertha Suresh,Alon Orlitsky
Yining Wang,HsiaoYu Tung
Haichao Zhang,Jianchao Yang
Wei Ping,Qiang Liu
Rishabh K Iyer,Jeff A Bilmes
Hadi Mohasel Afshar,Justin Domke
Marius Pachitariu,Maneesh Sahani
Aaron W Dennis,Dan Ventura
Victor Gabillon,Mohammad Ghavamzadeh
Sashank J Reddi,Ahmed Hefny
Chao Qian,Yang Yu
Xinghao Pan,Joseph E Gonzalez
Sheng Chen,Arindam Banerjee
Jacob Andreas,Maxim Rabinovich
Tomas Mikolov,Ilya Sutskever
Ferran Diego Andilla,Fred A Hamprecht
Tapani Raiko,Yao Li
Noga Alon,Nicolograve
S M Ali Eslami,Daniel Tarlow
Aron Yu,Kristen Grauman
Qing Sun,Dhruv Batra
Jacob Abernethy,Satyen Kale
Gustavo Malkomes,Matt J Kusner
Arthur Guez,David Silver
Joseacute,Miguel Hernaacute
Kishan Wimalawarne,Masashi Sugiyama
Tor Lattimore,Reacute
Trung V Nguyen,Edwin V Bonilla
Nima Taghipour,Jesse Davis
Tor Lattimore,Koby Crammer
Yingzhen Li,Joseacute
Raja Hafiz Affandi,Emily B Fox
Rashish Tandon,Karthikeyan Shanmugam
Eunho Yang,Pradeep Ravikumar
Jimmy S J Ren,Ce Liu
Kohei Hayashi,Ryohei Fujimaki
Kyle R Ulrich,David E Carlson
Rie Johnson,Tong Zhang
David Belanger,Alexandre Passos
Reacute,mi Bardenet
Sergey Levine,Vladlen Koltun
Murat Kocaoglu,Karthikeyan Shanmugam
Anqi Wu,Il Memming Park
Kihyuk Sohn,Honglak Lee
Yu Zhou,Xiang Bai
Yan Huang,Wei Wang
Sixin Zhang,Anna Choromanska
Kevin Swersky,Jasper Snoek
Xuezhi Wang,Jeff G Schneider
Maksims Volkovs,Richard S Zemel
Zheng Wen,Benjamin Van Roy
Daniel Russo,Benjamin Van Roy
SeYoung Yun,Marc Lelarge
Eunho Yang,Pradeep Ravikumar
Behzad Golshan,John W Byers
Xianghang Liu,James Petterson
Miguel Aacute,CarreiraPerpintilde
Maxim Rabinovich,Elaine Angelino
Aviv Tamar,Yinlam Chow
Ian Osband,Daniel Russo
Yudong Chen,Sujay Sanghavi
Yariv Dror Mizrahi,Misha Denil
Roy Frostig,Sida I Wang
Avrim Blum,Nika Haghtalab
Yuanyuan Liu,Fanhua Shang
Bolei Zhou,Agrave
Michalis K Titsias,Miguel Laacute
Andriy Mnih,Yee Whye Teh
Alexandra Carpentier,Reacute
Naoto Ohsaka,Yuichi Yoshida
Harsh H Pareek,Pradeep Ravikumar
Mohammad Gheshlaghi Azar,Alessandro Lazaric
Samory Kpotufe,Abdeslam Boularias
Ilya Sutskever,Oriol Vinyals
Branislav Kveton,Zheng Wen
Guosheng Lin,Chunhua Shen
Wouter M Koolen,Alan Malek
Adam Coates,Andrej Karpathy
Agnieszka GrabskaBarwinska,Jeffrey M Beck
Josip Djolonga,Andreas Krause
Rafael M Frongillo,Ian A Kash
Ryan Kiros,Richard S Zemel
Michael Schober,David K Duvenaud
Max Jaderberg,Karen Simonyan
Michaeuml,l Perrot
Xinhua Zhang,Yaoliang Yu
Hossein Azari Soufiani,William Z Chen
Elias Bareinboim,Sanghack Lee
Tsuyoshi Ueno,Kohei Hayashi
Xiangyu Wang,Peichao Peng
Amir Sani,Gergely Neu
Pinghua Gong,Jieping Ye
Xiaoqin Zhang,Di Wang
Nisheeth Srivastava,Ed Vul
Sina Tootoonian,Maacute
Raman Arora,Andrew Cotter
Liming Wang,David E Carlson
HsiaoYu Tung,Alexander J Smola
Shiau Hong Lim,Yudong Chen
Xi Chen,Qihang Lin
Huitong Qiu,Fang Han
Joseph Wang,Kirill Trapeznikov
TzuKuo Huang,Alekh Agarwal
Marius Pachitariu,Biljana Petreska
Lijun Zhang,Mehrdad Mahdavi
VietAn Nguyen,Jordan L BoydGraber
Ricardo Henao,Xin Yuan
James R Voss,Luis Rademacher
Guillermo D Cantilde,Lorenzo Rosasco
Alessandro Rudi,Raffaello Camoriano
Yash Deshpande,Andrea Montanari
H Brendan McMahan,Jacob Abernethy
Marcus Rohrbach,Sandra Ebert
Baharan Mirzasoleiman,Amin Karbasi
Khaled S Refaat,Arthur Choi
Mijung Park,Jonathan W Pillow
SeYoung Yun,Marc Lelarge
Andrej Karpathy,Armand Joulin
David K Duvenaud,Dougal Maclaurin
Kareem Amin,Afshin Rostamizadeh
David G T Barrett,Sophie Denegrave
Brendan van Rooyen,Aditya Krishna Menon
Francesca Petralia,Vinayak Rao
Siamak Ravanbakhsh,Reihaneh Rabbany
Anqi Wu,Mijung Park
Tatsunori B Hashimoto,Yi Sun
Vitaly Kuznetsov,Mehryar Mohri
Asrar Ahmed,Pradeep Varakantham
James Y Zou,Daniel J Hsu
Zhitang Chen,Kun Zhang
Meisam Razaviyayn,Farzan Farnia
Brooks Paige,Frank Wood
Victor Gabillon,Mohammad Ghavamzadeh
Weihao Kong,WuJun Li
Yi Sun,Yuheng Chen
Shouyuan Chen,Michael R Lyu
Albert Xin Jiang,Leandro Soriano Marcolino
Happy Mittal,Prasoon Goyal
Jun Wang,Alexandros Kalousis
Diederik P Kingma,Shakir Mohamed
Joonseok Lee,Mingxuan Sun
Fajwel Fogel,Alexandre dAspremont
Nathaniel Korda,Emilie Kaufmann
Ofer Dekel,Elad Hazan
Hidekazu Oiwa,Ryohei Fujimaki
Tejas D Kulkarni,William F Whitney
Sergey Levine,Pieter Abbeel
Nan Li,Rong Jin
Fang Zhao,Yongzhen Huang
Antoine Bordes,Nicolas Usunier
Jacob Steinhardt,Percy Liang
Farzaneh Mirzazadeh,Siamak Ravanbakhsh
Heiko Strathmann,Dino Sejdinovic
Rupesh Kumar Srivastava,Klaus Greff
Brian McWilliams,Gabriel Krummenacher
Suriya Gunasekar,Arindam Banerjee
Dijun Luo,Chris H Q Ding
Hankz Hankui Zhuo,Qiang Yang
Arthur Guez,Nicolas Heess
Daniel Bartz,KlausRobert Muuml
Tomasz Trzcinski,C Mario Christoudias
Jason D Lee,Ran GiladBachrach
Xinghao Pan,Stefanie Jegelka
Ye Wang,David B Dunson
Qianli Liao,Joel Z Leibo
Megasthenis Asteris,Dimitris S Papailiopoulos
Mehryar Mohri,Andres Muntilde
Evan Archer,Il Memming Park
Weizhu Chen,Zhenghao Wang
Zhen Cui,Hong Chang
Walid Krichene,Alexandre M Bayen
Huahua Wang,Arindam Banerjee
Ricardo Henao,Zhe Gan
John C Duchi,Michael I Jordan
Kustaa Kangas,Mikko Koivisto
Gheorghe Comanici,Doina Precup
Shakir Mohamed,Danilo Jimenez Rezende
Stefan Wager,William Fithian
Alexey Dosovitskiy,Jost Tobias Springenberg
Shouyuan Chen,Tian Lin
Shinichi Nakajima,Ryota Tomioka
David I Inouye,Pradeep Ravikumar
Yash Deshpande,Andrea Montanari
Marc G Bellemare,Joel Veness
Nicolas Heess,Gregory Wayne
Ofer Meshi,Mehrdad Mahdavi
Madalina Fiterau,Artur Dubrawski
Roger B Grosse,Chris J Maddison
Gary B Huang,Marwan A Mattar
H Brendan McMahan,Matthew J Streeter
Roberto Diacute,azMorales
Seacute,bastien Bubeck
Emily L Denton,Wojciech Zaremba
Boqing Gong,Kristen Grauman
Harikrishna Narasimhan,David C Parkes
Yunlong He,Yanjun Qi
Charles Blundell,Katherine A Heller
Richard Combes,Mohammad Sadegh Talebi
Ian EnHsu Yen,Kai Zhong
Nitish Srivastava,Ruslan Salakhutdinov
Eunho Yang,Aurelie C Lozano
Shaobo Han,Lin Du
Qinqing Zheng,Ryota Tomioka
Jason Chang,John W Fisher III
Prem Gopalan,Laurent Charlin
Chao Zhang,Lei Zhang
Joatilde,o F Henriques
Chicheng Zhang,Kamalika Chaudhuri
Scott W Linderman,Christopher H Stock
Christopher De Sa,Ce Zhang
Jiashi Feng,Huan Xu
Jesuacute,s CidSueiro
Abhishek Sharma,Oncel Tuzel
Ryota Tomioka,Taiji Suzuki
Wei Liu,Cun Mu
Julian Yarkony,Charless C Fowlkes
Karthika Mohan,Judea Pearl
Behnam Neyshabur,Nati Srebro
Jonathan Long,Ning Zhang
Tomaacute,s Kocaacute
Vijay Mahadevan,Nuno Vasconcelos
Kirthevasan Kandasamy,Akshay Krishnamurthy
Zhe Liu,John D Lafferty
VietAn Nguyen,Jordan L BoydGraber
Mohammad Norouzi,David J Fleet
Mahito Sugiyama,Karsten M Borgwardt
Dae Il Kim,Prem Gopalan
ChoJui Hsieh,Inderjit S Dhillon
Edouard Klein,Matthieu Geist
Jasper Snoek,Hugo Larochelle
Nan Du,Le Song
Bo Waggoner,Rafael M Frongillo
Junpei Komiyama,Junya Honda
Anastasia Pentina,Christoph H Lampert
Matteo Pirotta,Marcello Restelli
Nan Du,Yichen Wang
Megasthenis Asteris,Dimitris S Papailiopoulos
Daniel Hernaacute,ndezLobato
Karen Simonyan,Andrew Zisserman
Chicheng Zhang,Jimin Song
Harish G Ramaswamy,Shivani Agarwal
Karl Moritz Hermann,Tomaacute
Purushottam Kar,Harikrishna Narasimhan
Karthikeyan Shanmugam,Murat Kocaoglu
Siddhartha Banerjee,Peter Lofgren
Ping Li,Art B Owen
Aauml,ron Van Den Oord
Changyou Chen,Nan Ding
Masashi Sugiyama,Takafumi Kanamori
Nicolograve,CesaBianchi
Stephen P Boyd,Corinna Cortes
Ofer Meshi,Tommi S Jaakkola
Yacine Jernite,Yonatan Halpern
Zhaoran Wang,Huanran Lu
Marc Peter Deisenroth,Shakir Mohamed
James McInerney,Rajesh Ranganath
Jennifer Gillenwater,Alex Kulesza
Akshay Krishnamurthy,Aarti Singh
Seacute,bastien Bubeck
Sanjoy Dasgupta,Samory Kpotufe
Ziteng Wang,Kai Fan
Michalis K Titsias,Miguel Laacute
Peter Kairouz,Sewoong Oh
Philip Bachman,Doina Precup
Piyush Rai,Changwei Hu
Nishant A Mehta,Dongryeol Lee
Alekh Agarwal,Alina Beygelzimer
Isabel Valera,Zoubin Ghahramani
Yingyu Liang,MariaFlorina Balcan
Parikshit Ram,Alexander G Gray
Cynthia Dwork,Vitaly Feldman
Kacper Chwialkowski,Aaditya Ramdas
Oluwasanmi Koyejo,Nagarajan Natarajan
Jian Zhang,Alexander G Schwing
YuYing Liu,Shuang Li
Aaron Defazio,Tibeacute
Reshad Hosseini,Suvrit Sra
Corinna Cortes,Marius Kloft
Rupesh Kumar Srivastava,Jonathan Masci
Nilesh N Dalvi,Aditya G Parameswaran
Ke Jiang,Brian Kulis
Xinhua Zhang,Wee Sun Lee
Trung Thanh Nguyen,Tomi Silander
Ashesh Jain,Brian Wojcik
Neil Houlsby,Joseacute
Kevin Swersky,Daniel Tarlow
YiAn Ma,Tianqi Chen
Mehrdad Farajtabar,Yichen Wang
Rina Foygel,Nathan Srebro
Hengshuai Yao,Csaba Szepesvaacute
Rodolphe Jenatton,Nicolas Le Roux
Amir Sani,Alessandro Lazaric
Nitish Srivastava,Ruslan Salakhutdinov
Erich Kummerfeld,David Danks
Prem Gopalan,David M Mimno
Karthika Mohan,Judea Pearl
Mahdi Milani Fard,Yuri Grinberg
Sebastian Tschiatschek,Rishabh K Iyer
Purushottam Kar,Prateek Jain
Andreacute,da Motta Salles Barreto
James Sharpnack,Akshay Krishnamurthy
GuangTong Zhou,Tian Lan
Changbo Zhu,Huan Xu
Jason D Lee,Yuekai Sun
Wouter M Koolen,Dmitry Adamskiy
Assaf Glazer,Michael Lindenbaum
Sung Ju Hwang,Leonid Sigal
Khaled S Refaat,Arthur Choi
Lingqiao Liu,Chunhua Shen
Yanping Huang,Abram L Friesen
Sinead Williamson,Steve N MacEachern
Huahua Wang,Arindam Banerjee
Yichuan Zhang,Charles A Sutton
Daniel Russo,Benjamin Van Roy
Saurabh Paul,Malik MagdonIsmail
OdalricAmbrym Maillard,Timothy Arthur Mann
Moontae Lee,David Bindel
Leonidas Lefakis,Franccedil
Haichao Zhang,David P Wipf
Mehrdad Mahdavi,Tianbao Yang
Ian Osband,Benjamin Van Roy
Oriol Vinyals,Yangqing Jia
Shaoqing Ren,Kaiming He
Elad Hazan,Zohar Shay Karnin
Mengye Ren,Ryan Kiros
Ferran Diego Andilla,Fred A Hamprecht
Kevin D Tang,Vignesh Ramanathan
Assaf Glazer,Omer Weissbrod
Takayuki Osogami,Makoto Otsuka
Christopher R Dance,Tomi Silander
Haipeng Luo,Robert E Schapire
Sida I Wang,Arun Tejasvi Chaganty
Emile Richard,Andrea Montanari
Sergey Karayev,Tobias Baumgartner
Christopher De Sa,Ce Zhang
Baharan Mirzasoleiman,Amin Karbasi
Min Xu,Tao Qin
SeongHwan Jun,Liangliang Wang
Zhenyao Zhu,Ping Luo
David Loacute,pezPaz
Hossein Azari Soufiani,David C Parkes
Siqi Sun,Mladen Kolar
Tuan Anh Nguyen,Subbarao Kambhampati
Kamalika Chaudhuri,Sanjoy Dasgupta
Kyle R Ulrich,David E Carlson
James Y Zou,Ryan P Adams
Elias Bareinboim,Andrew Forney
Gergely Neu,Michal Valko
Roger Frigola,Yutian Chen
Jennifer Gillenwater,Alex Kulesza
Emile Richard,Steacute
Yaoliang Yu,Dale Schuurmans
ChoJui Hsieh,Inderjit S Dhillon
Meacute,lanie Rey
Peter A Flach,Meelis Kull
Bernardino RomeraParedes,Massimiliano Pontil
John Schulman,Nicolas Heess
Quoc TranDinh,Volkan Cevher
Rahul G Krishnan,Simon LacosteJulien
Yann Dauphin,Yoshua Bengio
Elad Hazan,Kfir Y Levy
Joseph Wang,Venkatesh Saligrama
Xingjian Shi,Zhourong Chen
Yunchao Gong,Sanjiv Kumar
Yuchen Zhang,John C Duchi
KaiYang Chiang,ChoJui Hsieh
Kamalika Chaudhuri,Sham M Kakade
Amit Daniely,Nati Linial
Stefan Wager,Sida I Wang
Shaodan Zhai,Tian Xia
Oren Rippel,Jasper Snoek
Jeremy C Weiss,Sriraam Natarajan
Nikhil Rao,HsiangFu Yu
Anshumali Shrivastava,Ping Li
Meisam Razaviyayn,Mingyi Hong
Samy Bengio,Oriol Vinyals
Guy Bresler,David Gamarnik
Eshcar Hillel,Zohar Shay Karnin
Alexander Rakhlin,Ohad Shamir
Xiaozhi Chen,Kaustav Kundu
Angela Eigenstetter,Bjouml
Ilias Diakonikolas,Moritz Hardt
Jason D Lee,Yuekai Sun
Tamir Hazan,Subhransu Maji
Greg Ver Steeg,Aram Galstyan
Zhe Gan,Chunyuan Li
Kacper Chwialkowski,Dino Sejdinovic
Siwei Lyu,Xin Wang
Jimei Yang,Scott E Reed
Wei Bi,James T Kwok
Xavier Bresson,Thomas Laurent
Dinesh Jayaraman,Kristen Grauman
Matthew Lawlor,Steven W Zucker
Trevor Campbell,Julian Straub
Martin Jaggi,Virginia Smith
Viliam Lisyacute,Marc Lanctot
Peter Kairouz,Sewoong Oh
Arun Rajkumar,Shivani Agarwal
Katerina Fragkiadaki,Marta Salas
Ian Osband,Benjamin Van Roy
Jacob R Gardner,Gustavo Malkomes
Karen Simonyan,Andrea Vedaldi
Nicholas J Foti,Sinead Williamson
Soumya Ghosh,Erik B Sudderth
Tian Tian,Jun Zhu
Anshumali Shrivastava,Ping Li
Mehrdad Mahdavi,Lijun Zhang
Karol Gregor,Dmitri B Chklovskii
Mahito Sugiyama,Karsten M Borgwardt
Ehsan Elhamifar,Guillermo Sapiro
Il Memming Park,Evan Archer
Somdeb Sarkhel,Deepak Venugopal
Maayan Harel,Shie Mannor
Kush Bhatia,Himanshu Jain
Matthew J Streeter,H Brendan McMahan
Balaacute,zs Szouml
Kihyuk Sohn,Wenling Shang
Michael C Hughes,Emily B Fox
Yichao Lu,Paramveer S Dhillon
Ryan Kiros,Yukun Zhu
Dmitri B Chklovskii,Daniel Soudry
John C Duchi,Michael I Jordan
ChoJui Hsieh,Inderjit S Dhillon
Bogdan Savchynskyy,Jouml
Isabel Valera,Francisco J R Ruiz
Trevor Campbell,Miao Liu
Judy Hoffman,Sergio Guadarrama
Azadeh Khaleghi,Daniil Ryabko
Martin Slawski,Matthias Hein
Alp Yurtsever,Quoc TranDinh
Fabian L Wauthier,Nebojsa Jojic
Julien Audiffren,Liva Ralaivola
Chicheng Zhang,Kamalika Chaudhuri
Il Memming Park,Evan Archer
Tim van Erven,Peter D Gruuml
Yinlam Chow,Mohammad Ghavamzadeh
Tetsuro Morimura,Takayuki Osogami
Ping Li,CunHui Zhang
Wojciech Zaremba,Arthur Gretton
ChoJui Hsieh,Maacute
Chong Wang,Xi Chen
Alon Orlitsky,Ananda Theertha Suresh
Noam Brown,Tuomas Sandholm
Zuoguan Wang,Siwei Lyu
Alaa Saade,Florent Krzakala
Brian McWilliams,David Balduzzi
Charles Blundell,Yee Whye Teh
Nishant A Mehta,Robert C Williamson
Matthew Lawlor,Steven W Zucker
Jie Liu,David Page
Been Kim,Julie A Shah
Daniel Bartz,KlausRobert Muuml
Shiva Prasad Kasiviswanathan,Huahua Wang
David J Weiss,Ben Taskar
Bogdan Alexe,Nicolas Heess
John C Duchi,Michael I Jordan
Guy Bresler,George H Chen
Sejong Yoon,Vladimir Pavlovic
Alexandra Carpentier,Michal Valko
Xiangyu Wang,Fangjian Guo
Ali Borji,Laurent Itti
Minjie Xu,Balaji Lakshminarayanan
Daniel J Hsu,Aryeh Kontorovich
Pranjal Awasthi,Avrim Blum
Yann Dauphin,Harm de Vries
Jaedeug Choi,KeeEung Kim
Xinyang Yi,Zhaoran Wang
Maximilian Nickel,Xueyan Jiang
Oluwasanmi Koyejo,Rajiv Khanna
Seunghoon Hong,Hyeonwoo Noh
Stefanie Jegelka,Francis R Bach
Prateek Jain,Ambuj Tewari
Myunghwan Kim,Jure Leskovec
Tivadar Papai,Henry A Kautz
Xiaolong Wang,Liliang Zhang
Xinghao Pan,Dimitris S Papailiopoulos
Yuri Grinberg,Doina Precup
Soslash,ren Hauberg
Jianbo Yang,Xuejun Liao
Sung Ju Hwang,Kristen Grauman
Xiaofeng Ren,Liefeng Bo
Ryan Kiros,Csaba Szepesvaacute
Eunho Yang,Pradeep Ravikumar
Ofer Dekel,Ronen Eldan
Samory Kpotufe,Vikas K Garg
Kai Zhong,EnHsu Yen
Jason D Hartline,Vasilis Syrgkanis
Xinyang Yi,Constantine Caramanis
Robert Gens,Pedro M Domingos
Scott W Linderman,Matthew Johnson
Yue Wu,Joseacute
Abhimanyu Das,Anirban Dasgupta
Giorgio Patrini,Richard Nock
Alaa Saade,Florent Krzakala
Martha White,Yaoliang Yu
Kai Wei,Rishabh K Iyer
Joseacute,Bento
Emanuele Coviello,Antoni B Chan
Rishabh K Iyer,Stefanie Jegelka
Chao Qu,Huan Xu
Andriy Mnih,Koray Kavukcuoglu
Jason Chang,John W Fisher III
Xavier Bresson,Thomas Laurent
Xiangyu Wang,Chenlei Leng
YuXiang Wang,Huan Xu
Christian Andersson Naesseth,Fredrik Lindsten
Liu Yang,Jaime G Carbonell
Keenon Werling,Arun Tejasvi Chaganty
Dan Rosenbaum,Daniel Zoran
Nan Du,Yingyu Liang
Pratik Jawanpuria,Maksim Lapin
David E Carlson,Vinayak Rao
Hu Ding,Ronald Berezney
Arindam Banerjee,Sheng Chen
Benigno Uria,Iain Murray
Pedro H O Pinheiro,Ronan Collobert
Wei Cao,Jian Li
Miao Xu,Rong Jin
Weiwei Cheng,Eyke Huuml
Francesca Petralia,Joshua T Vogelstein
MariaFlorina Balcan,Steven Ehrlich
Neil Houlsby,David M Blei
Agnieszka GrabskaBarwinska,Jonathan W Pillow
Jaya Kawale,Hung Hai Bui
Joseacute,Miguel Hernaacute
Prem Gopalan,Chong Wang
Yali Wang,Brahim Chaibdraa
TzuKuo Huang,Jeff G Schneider
Amr Ahmed,Sujith Ravi
Cristina Savin,Peter Dayan
Anirban Roychowdhury,Ke Jiang
Marcelo Fiori,Pablo Sprechmann
Daniel Vainsencher,Han Liu
James R Voss,Mikhail Belkin
Hugo Larochelle,Stanislas Lauly
David Loacute,pezPaz
Shaobo Han,Xuejun Liao
Quanquan Gu,Zhaoran Wang
Aauml,ron Van Den Oord
Nan Du,Le Song
Nicolas Heess,Daniel Tarlow
Haim Avron,Huy L Nguyen
Mithun Chakraborty,Sanmay Das
Shuhang Gu,Lei Zhang
Happy Mittal,Anuj Mahajan
Roacute,bert BusaFekete
Yichuan Zhang,Charles A Sutton
Mehrdad Farajtabar,Nan Du
Chris Piech,Jonathan Bassen
MariaFlorina Balcan,Vitaly Feldman
Daniel Zoran,Yair Weiss
Tian Lin,Jian Li
Mijung Park,Wittawat Jitkrittum
Peter Kontschieder,Samuel Rota Bulograve
Martin Slawski,Ping Li
Margareta Ackerman,Sanjoy Dasgupta
Adriagrave,Recasens
Andrew Gordon Wilson,Christoph Dann
Yifan Wu,Andraacute
Vasilis Syrgkanis,Alekh Agarwal
Yichuan Tang,Ruslan Salakhutdinov
Jacob Abernethy,Peter L Bartlett
Daniel Vainsencher,Shie Mannor
Ross Goroshin,Michaeuml
Nan Li,Longin Jan Latecki
Yichuan Tang,Nitish Srivastava
Xinhua Zhang,Yaoliang Yu
